date_of_shout,time_of_shout,pager_code,location_of_shout,what_three_words,shout_details,time_boat_launched,time_boat_returned,crew_on_board,crew_on_shore,weather_at_time_of_shout
08/07/2023,09:44,333,Duckbay,,Reports of a small craft adrift out in fROnt of Duckbay. After a quick search the small tender was located on the shore line. Small craft was found to be damaged and was removed fROm the water.,09:55,10:30,"DS, AM, AJM","TR, DO","Dry,warm"
05/07/2023,18:49,222,Boturich shore,,Crew were paged to a small bayliner with an engine fault bROken down just off of Boturich shore. Vessel was towed back to Loch Lomond marina and secured to its mooring. Crew returned to Duncan Mills and stood down.,19:04,20:04,"ABS, EM, JB, CG","RB, AM","Dry, sunny"
25/06/2023,10:15,222,Mainland West of Island I Vow,,"Report of a vessel drifted fROm beach with no persons onboard. Caller informed Police Scotland that he was on the beach and required assistance to retrieve the vessel. LLRB launched to support, once on scene  crew quickly located the caller who advised local campers were able to assist retrieve his vessel, all being well LLRB stood down and returned to base.",10:30,12:30,"AM, GH","DON, DS, KM",Blustery showers heavy at times
29/06/2023,17:02,222,Boturich shoreline,,"Cuddy drifted ashore onto Boturich shore line with 4 on board, boat taken back to duncan mills",17:15,17:45,"IG, DS, AJM, EM",RB,Clear
28/06/2023,23:11,999,On the west highland way near to TaRBet,,"LLRB paged to assist male who had kayaked acROss the Loch fROm the A82 side but was now stranded on the west highland way after suffering damage to his inflatable , male & his kayak were taken to Luss pier to meet his family and return home , LLRB stood down returning to base at 00:48",23:25,00:48,"DON, IG , TR , JB , LEE",None,"Dry,dark"
26/06/2023,18:09,222,Boturich Shore,,Crew paged to assist Jet ski that was ashore on Boturich area after taken on water. Crew assisted the 2 males & the jet ski back to Duncan mills slip way,18:20,19:32,"DS , CC , AJM , JB , AM","RB , TR",Dry sunny
26/06/2023,13:42,999,On shoreline between Luss & Culag,,"Concern for the welfare of a female reported to be threatening to enter the water between Luss & the culag.
LLRB crew & police Scotland officer’s conducted shore & water searches with the assistance of police Scotland helicopter.
Crew stood down after female traced safe & well in Glasgow",13:58,15:55,"DON , RB , GH  ,ABJ , KM","TR , EM","Sunny, with showers"
25/06/2023,20:45,222,Balmaha,,"Report of a maxum bowrider with engine failure after hitting the bottom and becoming bottomed out on the sandbank. Two crew members entered the water, attached ROpe to boat and boat was towed back to Duncan Mills slip.",20:55,22:10,"DS, EM, TR, KMC",None,Dry
24/06/2023,19:33,222,1 mile north of luss,,"BROken down speed boat, crew arrived on scene and towed boat back to location of origin at Duncan mills slipway",19:52,20:50,"ABJ, PD, JB, GH",None,"Sunny,clear"
17/06/2023,10:42,333,Inchmoan Island,,"Concern for the welfare of a female left stranded on the island , female was located by crew and taken back to Duncan mills slipway where she was left in the care of police Scotland.",11:03,11:45,"DS , AJM , AM",None,"Dry, light"
15/06/2023,17:22,222,Near CameROn house marina,,"Reports of pedal boat drifting towards the marina at CameROn house , Stood down once launched when shore crew confirmed pedal boat was safely ashore after been assisted by others , Police Scotland helicopter also in attendance",17:35,17:50,"DON , ABJ, AJM","JB , RB , ABJ , IG , CC","Sunny,light"
14/06/2023,19:15,222,South of duck bay marina,,Crew were out on training when flagged down by a member of the public to a bROken down ski south of duck bay marina with 1 person on board. Crew then secured the Jetski and towed it back to Duncan mills slipway.,19:08,00:00,"RB, ABS, DON, JB, EM, GD",None,"Sunny, dry"
14/06/2023,01:40,222,Inch murrin,,Paged by police Scotland to assist 4 males on 2 bROken down jet skis. As LLRB were launching both skis returned with one ski under power towing the second.,01:55,01:56,"ABJ, RB, DS, DON",None,"Warm, dark"
10/06/2023,16:59,222,East side of Inch CoNonechaan,,BROken down jet ski with two adults. Located jet ski in area reported and towed back to Duncan Mills slip.,17:15,18:30,"DS, IG,AM",None,"Dry ,sunny, choppy"
08/06/2023,16:28,222,Burn foot,,23ft Cruiser missed mooring and ended up gROunded. Located boat and towed to deeper water and helped boat back onto mooring,16:30,17:15,"GH, DS, RB,TR",None,"Windy, sunny"
08/06/2023,14:28,222,BROken down speed boat north of Duck bay.,,BROken down speed boat north of Duck bay. Boat located and towed back to Duncan Mills slip,14:40,15:30,"DS, GH","RB, TR","Windy, sunny"
08/06/2023,16:00,222,Just north burnfoot farm,,"Pioneer  pat with one occupant blow to shore whilst fishing, due to westerly blowing wing couldn’t get off shoreline, assorted of and made own way south to home Berth",00:00,16:20,"RB ,TR ,DS ,GH",None,"Westerly wind, sunny"
06/06/2023,20:15,222,North inchloNoneig,,"Bowrider with 4 persons on board bROken down due to engine failure, rescue boat took bROken down boat via tow to ducan Mills slipway,",20:30,21:15,"RB, DS, ABJ, EM, JB",None,Sunny
06/06/2023,20:15,222,North side inchloNoneig,,Bowrider,20:30,21:15,"RB,DS, ABJ, EM, JB",None,Sunny
06/06/2023,16:58,222,East of CameROn House,,Paged to pROvide assistance to a bROken down boat with 1 person on board. We launched and located the boat east of CameROn House. The boat was towed back to safety at Duncan Mills slipway.,17:22,17:46,"RB, ABJ, JB",None,"Sunny, dry"
05/06/2023,01:31,999,Inch murrin spit,,"Paged by police Scotland after request fROm Scottish ambulance service to attend inch murrin spit due to male having chest pains. Crew launched immediately and located the male and his partner, male was taken to DMMS where ambulance was waiting.",01:45,02:44,"ABJ,ABS, CC, DS, PD, AM",None,Dry
04/06/2023,17:47,999,Boturich Shoreline,,"LLRB were requested by Police Scotland to pROvide medical and transport support to an incident with reports of a female collapsed just below Boturich Castle on the Eastern shore of the Loch Lomond.  Once launched LLRB liaised with Police and Ambulance crew at Balloch Park slipway and pROceeded to transport the Ambulance crew to the incident. Once on scene LLRB pROvided support to Ambulance crew and reassurance the the casualty, once the Ambulance crew were satisfied the casualty was stable enough to travel LLRB then transported the casualty and Ambulance crew to Balloch Park where an ambulance was waiting for further observations and onward treatment at hospital.  LLRB informed Police Service Overview and returned to our summer station at Duncan Mills Memorial Slipway.",17:55,19:10,"AM, TAM, EM, AJM","PD, CC,DS",hot
04/06/2023,15:39,999,Inchtavanch (bandry),,Two adults on an inflatable kayak which burst on their return journey. The occupants made their way back to shore and called for assistance. LLRB launched to assist and transfer them back to aldochlay.,15:45,16:20,"TR, AM, EM, AM",None,Sun
30/05/2023,13:52,999,Inch moan south side,,Paged by police Scotland to assist male who had swam ashore after his  jet ski had bROken down. LLRB uNoneble to launch due to a mechanical issue with our winch. LLTNP attended and conveyed both the male and his jet ski to DMMS,13:52,16:00,"ABJ, RB, TR, AM",RO,hot
29/05/2023,19:01,222,Ardlui marina,,18ft boat,19:30,20:10,"DS, GH, DO,AM, ABJ, JB",None,"Sunny, dry"
28/05/2023,15:46,999,Firkin point,,"2 children in a dinghy blown off beach , children were rescued by passing vessel and assisted ashore , rescue boat crew went ashore & assessed children speaking with parent & police , will all in order and children safe LLRB stood down returning to base",16:02,17:00,"DS , GH , AJM , AM , JB , ABS","TR , EM","Sunny, light"
27/05/2023,16:03,999,West highland way north of ROwardenNone,,"Paged by Police Scotland to assist with an incident on the West Highland Way whereby a male had fallen aROund 15 feet. LLRB deployed to the scene along with LLTNP Rangers and Scottish Ambulance Service, despite efforts of all involved the male was sadly pROnounced dead at the scene. LLRB thanks the bystanders who assisted prior to our arrival and sends our deepest condolences to the Family and friends of the deceased.",16:20,19:00,"ABJ, EM, DON, AJM",None,"Dry, sunny, moderate wind"
27/05/2023,14:38,222,Drifting between inchmurrin & inchmoan island,,"18ft speedboat with 2 adults 2 children & dog onboard with engine failure , vessel & occupants towed to Balloch",15:11,16:00,"AM , AJM , DS",None,"Light, light showers"
19/05/2023,18:03,999,Bandry Bay,,"Paged to assist a vessel with 3 persons on board that had ran agROund at Bandry Bay Reported to have 1 person with medical concerns. Once on scene vessel was already on tow by NPA, LLRB crew boarded vessel and assessed casualty & with no further medical assistance required vessel was assessed for damage before making own way back to CameROn house marina.",18:24,18:52,"RB , DS , AJM",None,"Dry,light"
15/05/2023,18:57,222,River Leven,,Boat fROm one of the cruising clubs had been bROken into and set adrift down the River,19:20,20:03,"RB, CC, AM, ABJ,ABS, DS",None,"Sunny,cold"
10/05/2023,20:00,222,South of Inchmurrin Island,,"Jetski out of fuel, flagged down LLRB whilst we out for training. No phones onboard. Towed to Duck Bay to dROp one person off to collect van, and then pROceeded to Duncan Mills Slip with ski",20:00,21:00,"PBT, RB, IG","ABS, JB",Calm
07/05/2023,18:57,222,On beach opposite Aldochlay,,Vessel with 1 adult male on board with no power & stranded. Vessel was towed to Luss pier & secured for the night with crew thereafter transferring the owner to Ardlui in order for him to collect his car and get safely home.,19:11,20:45,"DS , AM , GH , EM",None,"Light,Dry"
07/05/2023,10:23,999,Inchcailloch Port Bawn Pier,,23 year old female had seizure in early morning after camping overnight on Inchcailloch. Crew deployed fROm Luss and recovered a walking casualty. Casualty was transferred by rescue boat to a waiting ambulance at Balmaha pier,10:30,11:15,"CS, AM, PBT",None,"Cloudy, calm, 12 degrees"
06/05/2023,00:52,333,CameROn house,,Paged by police Scotland to assist in area search after reports of 2 young children sighted on a lilo at appROx 2330hrs. LLRB attended and carried out area search with negative result.,01:10,02:30,"ABJ, DS, DON, GH ",RB,"Dry, foggy"
04/05/2023,15:07,333,ROughly 100m off Luss shore,,"2x capsized kayaks, with three persons reported in water. 2 persons already ashore when we launched, LLRB commenced search for for 3rd person who was eventuAM located onshore.",15:30,15:50,"RB, PBT, AJM","GH, TR","Windy, 1 foot waves"
23/04/2023,14:40,999,North East of InchFad,,"Crew were alerted by Police Scotland of a demasted sailing dinghy with no crew onboard floating  a quarter mile off Inchfad island. Crew immediately began a search coordiNoneting with Police ContROl, after an extensive search was conducted LLRB made contact with a local sailing club who confirmed a dinghy fROm the club had maNoneged to become free and float away, the club retrieved it uNoneware a call for safety was placed. Crew advised Police and stood down.",15:00,16:20,"AM, TAM ,PBT, EM, GH",None,"Fair, gusty North westerly"
24/04/2023,11:21,999,Inchmoan island,,"Paged to recover stranded person fROm inchmoan island after his companion left him stranded there overnight following a disagreement. Shore search for female then undertaken resulting in kayak been located near Loch Lomond golf club , Police Scotland traced female at her home address allowing us to stand down now that all parties safe & well",11:45,12:58,"DON , GERARD  , TR , PBT , AM",RB,"Sunny,dry"
12/03/2023,12:02,999,Duncan Mills Slip Way,,Crew made aware of two persons fallen into the water fROm a small vessel near to Duncan mill’s slipway. Both had maNoneged to get out of the water & Crew pROvided casualty care to both persons ashore before they where fit to be discharged an hour later,10:30,13:35,"DON , GERARD  ,AM , RO , PBT",None,"Raining,light"
11/03/2023,01:24,333,On the west highland in the area of Ardleish,,Assist Police Scotland mountain rescue team in the search of 4 Lost persons on the west highland way last known location near to Ardleish. Once on arrival at Ardlui mountain rescue located the lost party and assisted them fROm the west highland way.,01:45,03:16,"DON , ABJ , EM , JT",None,"Dry,dark"
26/02/2023,12:30,999,South of InchMurrin,,"Report fROm Police Scotland of a 5.5m Rigid Hull Inflatable Boat with 2 persons onboard (and dog) with engine tROuble and drifting. LLRB quickly identified the vessel and ensured all crew were safe and after a quick assessment secured the vessel for tow to Duncan Mills Memorial Slipway, Balloch. Once alongside at Balloch the crew then returned to station and stoodown",12:45,13:40,"AM, GH",None,"Sunny,calm"
19/02/2023,11:03,999,River Leven,,Crew Aletered to small boat with gear pROblems drifting in River Leven. Crew towed boat RO Moss of Balloch Slip Way,11:03,12:00,"AM,GH, DON,EM",None,"Light Rain, Slight Wind"
10/02/2023,12:09,999,Luss,,"Female paddle boarding in difficulty due to high winds uNoneble to get back to shore. Incident involved rescue boat , NPA , Police & ambulance. Female assessed by ambulance staff at boat shed & discharged at scene.",12:21,13:06,"GH , RB , AJM , EM",DON,"Wet ,windy, daylight"
09/02/2023,14:06,999,Boturich Shore,,"Small motoRBoat with 3 persons onboard ran agROund on ROcks near Boturich Shore. Their pROpeller was damaged and engine taken out of action. Due to the ROcky location, two crew fROm LLRB had to enter the water to reach the boat and  attach a tow line. The boat was towed to Duncan Mills slipway.",14:30,15:30,"RB, DS, TR, KM",None,"Cold but fair, light winds. Slight chop."
24/07/2022,00:08,222 4380,Ardleish jetty,,"camper tent flooed due to burn bursting banks, flash flooding",00:20,03:30,"ABS, EM, DS",None,"Torrential rain, stROng wind"
23/07/2022,12:05,222,Arden House,,"bROken down boat, towed to DMMS",12:05,00:00,"EM ,DS",None,"WET, CHOPPY"
19/07/2022,14:48,999,Inchmoan,,"male with heat stROke, assited and transffered to SAS at DMMS",15:00,00:00,"ABJ AJM ,IG ,AM, JT","ABS, FR, RB",VERY HOT 
19/07/2022,20:56,999 3665,Inchfad,,bROken down speedboat with 7 aboard,21:10,00:00,"CG ,IG ,DS ,AM, DON, EM",None,WARM OVERCAST
17/07/2022,22:22,333,Inchmoan,,"bROken down boat , towed to DMMS",22:35,00:00,"AM ,PD, DS, GH ,AJ",None,"DRY, WARM"
16/07/2022,18:07,333,ISLANDS,,"Multiple reports of a flare above islands, search completed nothing found",18:07,00:00,"JT, TR",None,"DRY, CLOUDY"
16/07/2022,18:07,222,INCHMURRIN,,jetski withengine failure towed to DMMS,18:22,00:00,"JT, TR",None,"DRY, CLOUDY"
16/07/2022,16:03,333 2428,North Inveruglas,,fishing boat with mechanical failure towed to ardlui,16:10,00:00,"JT, TR",None,"DRY, CLOUDY"
11/07/2022,18:58,333 3077,MillaROchy bay,,person of concern on paddle board without pfd,19:10,00:00,"RB, GH, JT, CG, AJM",None,CLOUDY
11/07/2022,18:13,333,Balloch park,,"Reports of person in tROuble in water, stood down before launch",18:13,18:13,"RB, GH, JT, CG ",None,WARM OVERCAST
10/07/2022,19:55,999,LUSS AREA,,Male struggling on paddle boat drifting towards inchloaNoneig,20:10,00:00,"CG ,RO, TR ,EM ,ABJ ,PD",None,BEAUTIFUL
10/07/2022,12:15,333,Aedleish jetty ,,Male with ankle injury,12:25,00:00,"TR, EM, JT",None,Sunny
09/07/2022,22:39,999,North Luss,,"male with baby onboard bROken down on boat, search carried out noo boat found",22:50,00:00,"TR ,AM ,DO ,EM ,ABJ, PD",None,Calm
09/07/2022,20:18,333,InchloaNoneig,,two females on kayak struggling to get back to luss,20:30,00:00,"TR, DO ,EM ,AM ,ABJ, AB",None,"SUNNY, WINDY"
06/07/2022,20:11,333,Ardleish jetty,,Female falled and sustained injury to left eye,20:25,00:00,"TR IG ,FR ,PD ,EM ,DO ,AM",None,"DRY, GUSTY"
06/07/2022,18:21,333 2673,InchloaNoneig,,4 persons and 1 dog on kayaks cant getback to luss dueto winds,18:30,00:00,"AM, AB ,GH ,TR, EM",None,Blustery north west wind
04/07/2022,17:40,333,InchtavaNonech,,2 persons on unsuitable water craft trying to get back to aldoclay when it sunk and they swam to shore,17:55,00:00,"RB,GH ,DON ,JT",None,EASTERY WIND
04/07/2022,07:10,333,Inchmurrin,,"boat missing when woke up fROm camping, boat was only20 mtrs ROund point",07:25,00:00,"RB,GH ,DON ",None,"EATERY WIND, FINE RAIN"
25/06/2022,14:20,999,Inch tavaNonech,,Paged by police Scotland to assist 2 kayakers in difficulty due to the wind conditions. Stood down prior to arrival as NPA patROl boat rendered assistance to kayakers.,14:20,14:25,"ABJ ,TR ,GH ,EM ,JT",None,"Sunny, stROng easterly wind"
14/06/2022,14:09,3331753,ROss isles,,15ft speedboat lost pROpulsion,14:30,15:30,"ABJ, JT, DON, RB",ABJ,"Overcast, no wind, small chop"
05/06/2022,13:18,999,Between Luss campsite and luss pier,,Reports of 1 person on a small dingy being blown out fROm shore. LLRB launched and made the short journey to the scene where no dingy or person in tROuble could be found. The rescue boat searched the surROunding area and again found nothing. An update fROm Police Scotland confirmed that there wasn't any dingy or person in tROuble but it was infact a jetski that had since left the scene. LLRB stood down.,13:30,13:45,"TR, AM, GH","RB, IG","Clear sky, light wind"
05/06/2022,16:30,3332585,InchloaNoneig south cove,,"Bayliner bow rider with 6 adults 2 kids and a dog, fuel pump failure. Towed to DMMS at balloch",16:45,00:00,"RB,IG,TR,GH,DON",None,"Lovely, stiff breeze fROm easy,chop"
05/06/2022,18:30,222,Luss bay just of pier,,Assorted boat with engine tROuble to luss pier,00:00,00:00,"RB, IG, GH,TR, DON",None,Magic
05/06/2022,18:40,222,InchloaNoneig north shore,,"Seadoo jetski with tow ROpe stuck in impeller, crew removed tow ROpe and took passengers to luss",00:00,19:40,"RB, IG, GH, TR, DON",None,Glorious
04/06/2022,12:05,222,WHW acROss fROm island ivow,,"Injured runner on WHW Ankle and hip injury, walking wounded no SAS assistance required, taken to ROwerdenNone to meet wife",12:05,00:00,"RB, IG, GH, ABJ","GD, CG","Hot, sharp breeze, chop"
28/05/2022,20:25,333,InchconNonechan,,Assist fire service to InchconNonechan boat house,20:40,00:15,"RB, JT",None,Dry
27/05/2022,00:04,333 3858,WHW what3words used for location,,2 females lost on the WHW acROss fROm Ardlui. Located the persons 500 yards north of ferry cROssing just above old farm ruins. Made way back to boat and transferred over to Ardlui to await Ambulance to check over casualties.,00:30,02:15,"TR,DS,IG,JT,DO",None,"Wet, stormy, choppy waters"
20/05/2022,17:37,999 2784,"West Highland Way, 2.8 miles south of InversNoneid, What3Words: squabbles.frame.interview",squabbles.frame.interview,"62YO female suffering back pain after multiple falls on Conic Hill two days earlier. She was walking WHW with her husband, and a third party came acROss them when she was uNoneble to walk due to pain. Lomond MRT initiAM tasked and passed incident to LLRB, we attended and after searching located the couple. Medical care given on scene, and couple transported to InversNoneid hotel where they passed over to Scottish Ambulance Service.",17:50,21:20,"RO, AM, PBT, KM, JT",None,"Overcast, wind"
17/05/2022,20:20,999,North of InversNoneid at ROb ROy's Cave,,Assistance required for a hillwalker who had fallen ill whilst walking the West Highland Way. Location was given using what 3 words app as near to ROb ROy's Cave. Crew located the walking party and assisted the unwell person down the hill to the boat and onwards to a waiting Ambulance at TaRBet.,20:40,23:15,"RO,CG,EM,PBT,KM,JT",None,Blustery
16/05/2022,13:20,999 1448,Shoreline at Lagganbeg caravan park,,"Report of upturned inflatable canoe in the water. LLRB and NP Rangers responded. Upon inspection canoe suspected to belong to person's rescued fROm water few days earlier by NP Rangers. Contact made with them, and their description of the canoe matched. Rangers took canoe back to DMS for collection by the owners, all stood down.",13:35,14:40,"ABS, PBT, JT, KM",None,"Low cloud cover, misty and raining, reduced visibility"
10/05/2022,15:26,999 1919,Between south shore of InchMoan and InchGalbraith,,"Blue and White Bayliner run ashore on remains of old walkway between Inchmoan and Inch Galbraith. Boat was pushed then towed off into deep safe waters, where they were able to restart their engine and continue on their way",15:30,17:00,"RB, AM, PBT, AJM, JT",None,"Westerly wind, sunny with clouds,intermittent showers"
10/05/2022,15:07,333 1846,"Shoreline between Boturich and ROss Priory, What3Words:  ///informed.totals.guests",informed.totals.guests,"Wooden fishing dinghy suffered engine failure, prevailing westerly winds and waves had pushed them into shoreline. LLRB responded and towed them back to Duncun Mills Slipway, where with assistance fROm fellow fishermen they made their own way back down the river Leven to their berth.",15:30,17:00,"RB, AM, PBT, AJM, JT",None,"Westerly wind, sunny with clouds,intermittent showers"
01/05/2022,10:11,999 1087,In water ROughly half mile fROm Port Bawn and Torinch,,"Fishing boat with 3 occupants capsized. 3 persons in water, 4 kayakers were on scene pROviding assistance. 3 person's not wearing lifejackets. Shout attended by LLRB and NonetioNonel Park ""Osprey"". LLRB recovered three casualties and took them to Duncan Mills slipway where they were met by ambulance crews. Casualties assessed and warmed up in ambulance. NP towed capsized boat back to MilarROchy Bay, LLRB then returned to MilarROchy in order to assist in righting the boat and dragging it onto shoreline. Fuel removed fROm boat.",10:15,12:15,"ABJ, ABS, AM, PBT, GH , DON, JT",TR,"Overcast, Flat Calm"
24/04/2022,08:35,999,"Duckbay reports of two persons in water shouting for help, reports of kayak or ROwing boat",,"Reports of two in water, on arrival a sailing dinghy was being assured by NPA boat , this was the reporter of incident. They said they had made shore at. North side of duckbay marina at small beach. SFRS Police scotland SAS and coastguard already on scene. No sign of casualty’s that we’re in water.",09:00,09:55,"RB, RO, AJM , PBT, JT",GH,"Easterly wind , medium swell"
22/04/2022,00:20,333,Beach/Spit at South West corner of InchloNoneig,,"4 lads on Jetskis had been out for the afternoon when one jetski started taking on water. 1 lad returned to Luss and raised the alarm. LLRB attended and headed to LoNoneig, where the remaining three lads were waiting. Location was easy as they had lit a fire to keep warm, questioning found that they had been stranded for several hours before the alarm was given. All three lads and their jetski recovered to Luss where they were met by the fourth friend.",00:35,01:15,"DS, PBT, GERALD , JT",None,"Breezy, clear night"
21/04/2022,13:56,999 1573,In water ROughly 1 mile north of Lomond Shores,,"Family of 4 (2 adults and 2 children) on two paddle boards reported to be in difficulty due to wind, call came fROm shore sighting.
Boat responded and carried out search, however police updated that family had made it to shore safely.",14:15,15:30,"RB, AM, PBT, KM",None,"Sunny, easterly wind"
02/04/2022,17:29,333-2563,Northwest of InchMurrin Island,,"Report of a bROken down vessel Northwest of InchMurrin Island with 4 persons onboard, LLRB arrived quickly to the scene and assessed all onboard and began to make preparations to tow to Duncan Mills Memorial Slipway. Once the vessel was secured LLRB returned to station and stood down.",17:50,18:55,"TR, AM,AJM",None,"Fair, calm"
27/03/2022,20:10,222,Leven River,,"As we were leaving river after last incident, noticed a boat cutting close inshore ROund the Maid of the Loch Pier. After observing them come to a halt, we checked and found boat's engine had died. We then assisted them down to Riverside pontoons by weir.",17:29,20:40,"TR, PBT, IG",None,"Clear, calm"
27/03/2022,19:02,999 2788,South side of InchconNonechan,,"3 lads out on jetski for the day, when ski lost all oil pressure. Recovered ski to Balloch Park public slip.",19:30,20:40,"TR, PBT, IG",None,"Calm , clear evening"
26/03/2022,18:20,333 -3072,North side of InchConNonechan,,"Report fROm HM Coastguard of 1 x female reporting her inflatable kayak had deflated and was uNoneble to return to the mainland fROm the Northern shore of InchConNonechan. LLRB quickly arrived on scene and assessed the situation, identifying 1 female and 1 male, both were well prepared and in a healthy condition. Once safely onboard the crew then took them  to Aldochlay fROm where they set off. Crew then returned to base and stood down.",18:40,19:05,"AM, PBT, GH, AJM",None,"Good, calm"
23/03/2022,18:47,333,Balloch park,,"2 persons in the water after their 
inflatable kayak malfunctioned causing both occupants to enter the water. 

Both casualties were recovered fROm the water at the moth of the river leven and taken to Duncan Mills Slipway for further treatment.",18:55,20:30,"RO, ABS, TR, GH, EM, JT",None,Calm
20/03/2022,16:14,999,Between Inchmurrin and Duckbay marina,,"BROken down boat with 7 persons on board, towed to DMS",16:40,17:45,"CG, ABJ, EM, JT",None,"Dry, sunny , chilly, windy"
20/03/2022,11:30,222,West side of Inchmurrin,,"Two power boats lost power attempting to return to Duncan Mills Slipway.
One boat was known to be not working, and was being towed by second boat who subsequently bROke down. 
LLRB were passing area going to event at Lomond shores when we were waved down by first boat. 
Boat taken on tow to Duncan Mills slip, before LLRB returned to take second boat under tow.",11:30,13:30,"AM, PBT, JT",None,"Clear, light Easterly wind, sunshine"
19/03/2022,16:15,333,South of loNoneig,,Two adults and a dog in an inflatable kayak,16:40,17:15,"RO, PBT, JT ,GH",None,"Easterly wind,choppy"
14/03/2022,19:50,333,Between Luss and ROwardenNone,,"Paged by police Scotland due to reports of a light flashing in a sequence between Luss and ROwardenNone. Crew attended the locus immediately and carried out a search of the area with negative results for any persons, flashing light deemed to be isolated danger marker",20:15,21:00,"ABJ, AM, PT, LS, JT",None,"Dry, darkness"
21/02/2022,12:00,222,InchconNonechan at haven,,"24ft Norman reg v4730, engine tROuble been camping since last week, towed to DMMS",12:20,14:00,"RB ,JT ,PBT ,AM","TR,GH","Wild north NonerROws, south stiff breeze, light swells"
21/02/2022,11:49,333 1151,"Fraoch Island just south of luss,",,"Male and female out paddle boarding and got caught out with weather, male was in water for 40 mins before reaching island. Picked up and taken to boathouse to warm up as there was signs of hypothermia. He was ex RNLI and a current ambulance tech fROm Helensburgh",12:00,12:20,"RB ,PBT ,GH ,JT","AM,TR","StROng easterly wind, large swell"
20/02/2022,18:38,333,TaRBert,,"Reports of vulnerable person within the vicinity of the shoreline in TaRBert area  of west coast Loch Lomond . Shore search carried out down to firkin point nothing observed, stood down and returned to base",18:50,20:00,"RO,IG,ABJD, PBT","RB,TR","Bloody wild snow/hail storms, driving wind"
20/02/2022,17:41,999 2465,Between ROss priory and balmaha,,"Jet ski failed to return, report of persons in water. Stood down when arrived at scene, person/persons on jet ski swam to shore in water for 1hr, R199 also in attendance",18:00,18:38,"ABJ, RO, TR , PBT, IG",RB,"Driving rain hail, 5/6ft swells"
31/12/2021,13:54,333,East of TaRBet,,28' motor cruiser with no drive and 2 persons on board. Tow given to Loch Lomond caravan park. Crew returned to Luss and stood down,14:01,15:01,"DS, IG, CG, GH",RB,"Wet,windy"
25/12/2021,12:00,333,"West of Ardlui, on sandbank near mouth of falloch",,Loss of power,12:30,14:10,"RB,ABJ,JT,EM",None,"Bluster high winds, varying swell"
20/12/2021,14:25,999,East of inch murrin,,Paged by police Scotland to reports of a Boat adrift with 4 persons on board including a baby which had suffered engine failure and there was smoke coming fROm the engine bay. Upon arrival boat under tow by member of the public LLRB ensured safety of all on board and stood down,14:25,15:00,"ABJ, IG, EM, AJM, GH ",None,"Dry, cold"
20/11/2021,11:32,999,Mainland just off Fraoch Isle,,"Report of capsized vessel with four personnel without lifejackets clinging to the upturned vessel. LLRB quickly launched, once on scene LLRB crew assessed the casualties and treated them for hypothermia and transported them to the boat shed where our colleagues fROm the Scottish Ambulance Service then took custody of the casualties.  LLRB then returned to the site to transport Police Scotland Officers back to Luss. Once back at the shed the crew restocked the medical equipment and returned to pagers.",12:00,12:35,"EM, AJM,RB",RB,"Gusty SE wind, ROugh waters"
01/11/2021,11:41,333 1456,Two campers staying on Inchcailloch for the weekend. Water was to ROugh for return journey to Portnellan farm,,Two campers camping on Inchcailloch for the weekend. Water too ROugh for return journey to Portnellan Farm. Boat made way to Island and towed the kayaks and two campers back to Portnellan,12:00,13:45,"IG ,EM,GH",None,"Dry, ROugh water"
31/10/2021,12:49,9992336,South of sallochy bay,,Reports of three persons in water fROm capsized canoe.boat launched and headed to scene where coastguard helicopter had locates casualties. Boat recovered 2 females and 1 male and a dog fROm water. DROpped off at Sallochy to a waiting ambulance.,13:15,13:45,"RO, DS, AM, LS",ABS,Windy
30/10/2021,19:27,333 3439,Ardlui ferry jetty,,Walker miss just distance to walk and missed ferry to ardlui,20:10,21:50,"DJS,ABS PD",None,"Dark, wet"
23/10/2021,22:45,333,West side inch loNoneig,,Paged by police Scotland to assist a boat which had ran out of fuel and had drifted onto the west side of Inch LoNoneig. Boat located and towed to Luss,22:45,23:50,"ABJ,ABS",None,"Torrential rain, stROng wind"
06/10/2021,16:27,999,Inchmurrin spit,,At the time and date stated LLRB were paged by Police Scotland to assist a bROken down 19 foot speed boat on the east side of Inch Murrin near to the spit. After lunching LLRB quickly located the vessel and towed it to Duncan Mills memorial slipway at balloch,16:57,18:05,"ABJ, RB",None,Dry
18/09/2021,16:01,999,400 metres north of Island I Vow,,Male had fallen appROximately 40ft fROm the West Highland Way path onto the ROcks below. The casualty had suffered multiple injuries and required urgent medical assistance. Coastguard Rescue 999 was also tasked. LLRB assisted the paramedic package the casualty for extraction to the Rescue Boat then onwards to the aircraft. Injured male was then transferred to the Queen Elizabeth Hospital  for further treatment.,16:25,19:25,"CG, RB, AM, KM, GH",None,Sunny
29/08/2021,00:42,3334906,InchConNonechan,,Assist police by transporting them to InchConNonechan to deal with a police incident. Police dealt with incident and boat stood down.,01:00,04:41,"DS, ABJ",None,"Dry dark, choppy"
26/08/2021,22:20,9993743,WHW North of Inversnaeid,,1 male reported lost 5km north of InversNoneid. After arriving in the reported area we started a search and after a short while located the person on the shore line. Safely got the person onto the boat and dROpped him off at InversNoneid hotel safe and well. Boat stood down and returned to base .,22:35,00:10,"DS, IG",None,"Dry dark, choppy"
